Entity,Code,Year,Coal_Consumption_EJ,Gas_Consumption_EJ,Geo_Biomass_Other_TWh,Hydro_Generation_TWh,Nuclear_Generation_TWh,Solar_Generation_TWh,Wind_Generation_TWh,Oil_Consumption_EJ
Africa,,1965,1.164586098,0.034357515,0,13.90563517,0,0,0,1.173241355
Africa,,1966,1.163239896,0.038411698,0,15.51000414,0,0,0,1.284153639
Africa,,1967,1.189049705,0.037964411,0,16.19063636,0,0,0,1.273798935
Africa,,1968,1.236646479,0.038480291,0,18.93834056,0,0,0,1.344218567
Africa,,1969,1.247914518,0.044971199,0,22.10088962,0,0,0,1.362729473
Africa,,1970,1.298724838,0.05587317,0,27.63042982,0,0,0,1.506263866
Africa,,1971,1.378844347,0.066258949,0.164,26.0133909,0,0,0,1.702945651
Africa,,1972,1.383158892,0.088814365,0.165,29.63319642,0,0,0,1.84581668
Africa,,1973,1.472077272,0.142386449,0.17,31.34570755,0,0,0,1.98518736
Africa,,1974,1.532326414,0.160266555,0.175,35.66707429,0,0,0,2.052104297
Africa,,1975,1.623889813,0.193098159,0.172,37.71796997,0,0,0,2.147126701
Africa,,1976,1.731866962,0.219533004,0.185,41.79763324,0,0,0,2.383952875
Africa,,1977,1.770114438,0.245643087,0.189,45.92876812,0,0,0,2.523974662
Africa,,1978,1.720136098,0.350531632,0.195,46.30693874,0,0,0,2.657353228
Africa,,1979,1.826089187,0.535834137,0.201,49.56523298,0,0,0,2.833672534
Africa,,1980,1.956805414,0.672890318,0.207,48.31178436,0,0,0,2.998350248
Africa,,1981,2.28887562,0.822568162,0.218,50.19290606,0,0,0,3.190958232
Africa,,1982,2.524233177,0.888240775,0.236,50.20623713,0,0,0,3.34994324
Africa,,1983,2.56768577,0.976591249,0.23,45.24716006,0,0,0,3.46372813
Africa,,1984,2.746432338,0.93565001,0.234,44.48997332,3.925,0,0,3.537495142
Africa,,1985,2.833797202,1.003833889,0.269,49.44968505,5.315,0,0,3.61703254
Africa,,1986,2.899281947,1.127776329,0.659,51.1453733,8.803,0,0,3.563445293
Africa,,1987,2.981951036,1.164183686,0.658,49.05646031,6.167,0,0,3.74359888
Africa,,1988,3.204578897,1.290400346,0.626,53.59345636,10.493,0,0,3.918183682
Africa,,1989,3.008235103,1.337295748,0.617,56.27621477,11.099,0,0,4.062759892
Africa,,1990,3.160115501,1.435123384,0.765731343,57.25465912,8.449,0,0,4.126926071
Africa,,1991,3.071500447,1.445888135,0.788,60.65148841,9.144,0,0,4.15549736
Africa,,1992,3.089882693,1.516572927,0.82425,57.86029168,9.288000285,0,0,4.251372111
Africa,,1993,3.137814743,1.485518319,0.9157,56.68250727,7.255000053,0,0.002,4.300878103
Africa,,1994,3.219007431,1.554580628,0.821,57.59604857,9.696999854,0,0.0054,4.400074707
Africa,,1995,3.318490224,1.660476592,1.0207,59.76887687,11.30099943,0,0.0063,4.553974689
Africa,,1996,3.364386619,1.743090293,1.260093088,62.31645867,11.77500009,0,0.0071,4.667258267
Africa,,1997,3.449957037,1.70811193,1.388640408,63.85249756,12.64699988,0,0.0072,4.793833389
Africa,,1998,3.370706203,1.79761318,1.714549286,66.65488788,13.60099945,0,0.0076,4.909741668
Africa,,1999,3.475730232,1.814470587,1.696124799,70.68426132,12.83699988,0,0.0198,5.086056238
Africa,,2000,3.467786094,2.004560483,2.269063158,75.24581662,13.01000009,0.013141,0.176,5.114313708
Africa,,2001,3.512115583,2.313598154,2.335352632,80.86411472,10.71899964,0.01636,0.41608,5.180285836
Africa,,2002,3.362763339,2.452550854,2.2864,85.18146813,11.99099944,0.01947101,0.444584,5.274392282
Africa,,2003,3.660165512,2.605408065,2.6224,82.87260146,12.66299922,0.02302901,0.541199,5.415338909
Africa,,2004,4.025843997,2.836419185,2.9841,87.40546926,13.36512271,0.02746101,0.769280505,5.673156576
Africa,,2005,3.736912492,2.942487317,3.0148,89.06573418,11.29265416,0.03237601,0.782382111,5.959170493
Africa,,2006,3.789957632,3.070838839,3.77529,92.24055301,10.02599942,0.04065701,0.852565606,6.000113216
Africa,,2007,3.852661365,3.269021097,3.14685,95.34056181,11.31699987,0.053333293,1.016223364,6.200857151
Africa,,2008,4.246142075,3.412028425,3.271422,97.15720925,13.00399966,0.075132202,1.312178131,6.549066277
Africa,,2009,4.227939159,3.440749024,3.56272219,99.7611369,12.80599944,0.098152927,1.589730939,6.787939446
Africa,,2010,4.190915091,3.561003542,3.829542064,107.4268326,13.52699988,0.21382075,2.284182434,7.127721644
